정답_라벨,예측_라벨,빈도
인공지능학습데이터,인공지능학습데이터구축,30
 생성형AI엔지니어링,생성형AI엔지니어링,23
인공지능서비스구현,생성형AI엔지니어링,20
인공지능모델링,생성형AI엔지니어링,19
인공지능서비스기획,생성형AI엔지니어링,15
인공지능플랫폼구축,생성형AI엔지니어링,15
인공지능서비스기획,인공지능서비스구현,13
인공지능서비스운영관리,생성형AI엔지니어링,12
인공지능학습데이터,생성형AI엔지니어링,9
인공지능서비스구현,인공지능플랫폼구축,8
 생성형AI엔지니어링,인공지능서비스구현,8
 생성형AI엔지니어링,인공지능플랫폼구축,6
 생성형AI엔지니어링,인공지능학습데이터구축,6
인공지능서비스운영관리,인공지능서비스구현,6
인공지능플랫폼구축,인공지능학습데이터구축,6
 생성형AI엔지니어링,인공지능모델링,5
인공지능서비스운영관리,인공지능플랫폼구축,5
인공지능플랫폼구축,인공지능모델링,4
인공지능서비스운영관리,인공지능서비스기획,4
인공지능모델링,인공지능서비스구현,4
인공지능모델링,인공지능학습데이터구축,3
인공지능학습데이터,인공지능모델링,2
인공지능서비스구현,인공지능학습데이터구축,2
인공지능서비스기획,인공지능플랫폼구축,2
인공지능서비스운영관리,인공지능모델링,2
인공지능플랫폼구축,인공지능서비스운영관리,2
 생성형AI엔지니어링,인공지능서비스기획,1
인공지능서비스운영관리,인공지능학습데이터구축,1
인공지능플랫폼구축,인공지능서비스구현,1
